Number	Morph	Frequency
236	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Prog1+Past+A3sg	12
237	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom	12
238	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Narr+A1sg	12
239	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Dat	12
240	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P3sg+Acc	11
241	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Dat	11
242	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Acc	11
243	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P2pl+Nom	11
244	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P1sg+Abl	11
245	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P1sg+Loc	11
246	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P2pl+Nom	11
247	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Loc+Adj+Rel	11
248	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Past+A3pl	11
249	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Abl	11
250	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Past+A2pl	11
251	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Adj+PastPart+P3sg	11
252	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Fut+A3sg+Cop+A3sg	11
253	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Prog2+A3sg+Cop+A3sg	11
